Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Disagree Strongly	Agree Strongly	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Agree Strongly	0	1	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Strongly	Nothing	Agree Strongly	0	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	Agree Strongly	Agree Somewhat	Agree Strongly	0	1	0	1	0	0	1	0	0	1	0	Go!	id97481	
Disagree Somewhat	Agree Strongly	Reply	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Other	Agree Strongly	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id98376	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	0	1	0	0	0	1	0	0	1	0	Disagree Somewhat	Agree Somewhat	Other	Agree Strongly	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id98572	
Neither Agree or Disagree	No Opinion	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	No Opinion	No Opinion	0	1	0	0	0	0	0	0	0	0	Agree Somewhat	No Opinion	Registry	No Opinion	0	1	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	0	0	Go!	id93505	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Disagree Somewhat	0	0	0	0	1	1	0	1	1	1	Disagree Somewhat	Agree Somewhat	Blacklist	Agree Strongly	0	1	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0		0	1	0	0	1	0	Go!	id93513	
Disagree Strongly	Agree Strongly	Not App	Agree Strongly	Agree Somewhat	Disagree Strongly	Agree Strongly	Agree Somewhat	Agree Strongly	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Neither Agree or Disagree	Agree Strongly	No Opinion	0	0	1	0	0	0	1	0	1	1	0	Go!	id93983	
Disagree Somewhat	No Opinion	Read	Agree Somewhat	Agree Strongly	Agree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Somewhat	0	1	0	1	1	1	0	0	1	1	Agree Somewhat	Agree Somewhat	Registry	Agree Somewhat	0	1	0	0	1	1	1	1	1	1	0	1	0	0	0	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	1	0	1	0	0	1	0	0	1	0	Go!	id93619	
Disagree Strongly	No Opinion	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	No Opinion	0	1	0	0	0	0	0	1	0	0	Disagree Strongly	Disagree Strongly	Don't Know	Disagree Strongly	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	Agree Strongly	Disagree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id44031	
Disagree Somewhat	Disagree Somewhat	Read	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Neither Agree or Disagree	Registry	Neither Agree or Disagree	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	0	0	0	0	0	0	1	0	0	0	0	Go!	id93621	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	Disagree Somewhat	0	1	1	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id98380	
Disagree Strongly	No Opinion	Not App	Agree Somewhat	Disagree Somewhat	Disagree Strongly	Agree Strongly	Agree Strongly	Agree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Disagree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	0	Go!	id97081	
Disagree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	0	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	0	Go!	id98037	
Disagree Somewhat	Neither Agree or Disagree	Delete	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Agree Strongly	0	1	1	0	0	0	1	0	0	0	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	0	0	0	1	0	0	1	0	0	1	0	Go!	id98618	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Agree Somewhat	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id94286	
Disagree Strongly	Agree Somewhat	Delete	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	1	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	1	1	1	1	1	1	1	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0		0	1	1	0	1	1	Go!	id94682	
Disagree Strongly	Neither Agree or Disagree	Reply	Agree Strongly	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Strongly	Disagree Somewhat	0	1	0	1	1	1	0	1	1	1	Agree Somewhat	Agree Strongly	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id95309	
Disagree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Disagree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Disagree Strongly	Blacklist	Agree Strongly	0	1	0	0	1	0	0	1	1	1	1	1	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id98590	
Neither Agree or Disagree	Neither Agree or Disagree	Not App	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	0	0	0	1	1	0	0	0	0	1	Disagree Strongly	Agree Somewhat	Don't Know	Neither Agree or Disagree	0	1	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id91276	
Neither Agree or Disagree	Agree Somewhat	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	0	0	1	1	0	1	0	1	1	1	Disagree Strongly	No Opinion	Registry	Agree Strongly	0	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	1	0	1	1	0	Go!	id93251	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Strongly	0	1	0	0	0	0	0	0	0	0	Disagree Somewhat	Disagree Strongly	Blacklist	Agree Strongly	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	0	0	Go!	id98645	
Agree Somewhat	Agree Strongly	Other	Agree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	No Opinion	No Opinion	1	0	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Don't Know	Agree Somewhat	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	0	0	0	0	0	1	Go!	id93827	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	0	0	0	1	0	0	1	0	0	1	0	Go!	id22379	
Disagree Somewhat	Disagree Somewhat	Not App	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	0	1	0	0	1	0	Neither Agree or Disagree	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	1	1	1	1	0	0	0	0	0	0	0	1	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	0	Go!	id95469	
Agree Strongly	Disagree Somewhat	Read	Disagree Strongly	Agree Strongly	Disagree Somewhat	Disagree Somewhat	Agree Strongly	Disagree Strongly	0	1	0	0	0	1	0	0	0	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	1	0	0	0	0	1	0	0	1	1	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id91988	
Neither Agree or Disagree	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Disagree Somewhat	Agree Strongly	Disagree Strongly	0	1	0	1	1	1	0	0	1	0	Disagree Somewhat	No Opinion	Don't Know	Agree Strongly	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id93413	
Agree Somewhat	Neither Agree or Disagree	Delete	Agree Somewhat	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	0	0	1	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Registry	No Opinion	0	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1		1	1	0	0	1	1	Go!	id99662	
Agree Somewhat	Neither Agree or Disagree	Reply	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	Disagree Somewhat	0	0	0	0	0	0	0	0	1	0	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	1	1	0	1	1	1	1	0	0	1	1	0	1	1	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	0	0	0	1	0	Go!	id93655	
Agree Somewhat	Neither Agree or Disagree	Delete	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	1	1	1	1	1	1	Neither Agree or Disagree	Disagree Strongly	Nothing	Agree Strongly	0	1	1	0	0	0	0	1	0	0	1	1	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	0	0	0	0	1	0	1	1	0	Go!	id93819	
Disagree Strongly	No Opinion	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	Disagree Strongly	0	0	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	1	1	1	Go!	id94588	
Disagree Strongly	Agree Somewhat	Delete	Disagree Strongly	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Disagree Strongly	0	1	0	1	0	1	0	0	1	1	Disagree Strongly	Disagree Somewhat	Registry	Agree Strongly	0	0	1	0	1	0	0	1	0	0	0	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	0	0	0	0	0	Go!	id93818	
Disagree Somewhat	Agree Strongly	Delete	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	No Opinion	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Impact Fee	Agree Strongly	0	1	1	0	1	0	0	1	1	1	0	1	0	0	0	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	0	0	0	1	0	0	1	1	Go!	id99890	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	No Opinion	0	0	0	0	0	1	0	0	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	0	1	0	1	1	1	1	0	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id93024	
Disagree Somewhat	No Opinion	Delete	Agree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Other	Agree Strongly	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	1	1	0	Go!	id90894	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Strongly	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	Agree Strongly	No Opinion	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	Agree Strongly	Impact Fee	No Opinion	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	1	0	Go!	id98603	
Disagree Somewhat	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	Agree Somewhat	No Opinion	1	1	0	0	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Registry	Agree Somewhat	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	Agree Somewhat	Neither Agree or Disagree	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id98605	
No Opinion	No Opinion	Delete	Neither Agree or Disagree	No Opinion	No Opinion	No Opinion	Agree Somewhat	No Opinion	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	No Opinion	Registry	No Opinion	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	No Opinion	No Opinion	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	1	Go!	id91416	
Disagree Strongly	Agree Strongly	Not App	Disagree Somewhat	Agree Strongly	Disagree Somewhat	Neither Agree or Disagree	Agree Strongly	Disagree Strongly	0	1	1	0	0	0	0	0	1	0	Disagree Strongly	Disagree Strongly	Registry	Agree Strongly	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0		0	1	0	0	1	0	Go!	id90392	
Disagree Strongly	Agree Strongly	Reply	Agree Somewhat	Disagree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Don't Know	Agree Strongly	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	0	0	0	0	0	1	0	0	1	1	Go!	id96047	
No Opinion	No Opinion	Delete	Agree Somewhat	No Opinion	Disagree Somewhat	No Opinion	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	0	0	0	0	Neither Agree or Disagree	Neither Agree or Disagree	Don't Know	Neither Agree or Disagree	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	Disagree Strongly	No Opinion	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id99266	
Disagree Somewhat	No Opinion	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	1	1	0	0	0	0	0	0	1	0	Disagree Strongly	Disagree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	1	1	0	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id93680	
Neither Agree or Disagree	No Opinion	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	0	0	0	0	0	1	0	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	0	0	1	1	0	1	1	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	1	0	0	0	0	0	0	Go!	id91610	
Disagree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Somewhat	Disagree Somewhat	Disagree Somewhat	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	0	1	0	1	1	0	0	1	1	Go!	id94945	
Disagree Somewhat	Neither Agree or Disagree	Read	Agree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	0	0	1	0	1	0	0	1	1	Agree Somewhat	Disagree Strongly	Other	Neither Agree or Disagree	0	1	1	1	0	0	0	1	0	0	0	1	0	1	1	1	0	Disagree Strongly	Agree Somewhat	Agree Somewhat	1	0	0	0	0	0	0	0	0	0	0	Go!	id95328	
Disagree Strongly	Neither Agree or Disagree	Reply	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	No Opinion	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	No Opinion	Blacklist	Neither Agree or Disagree	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0	0	Agree Somewhat	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id96918	
Disagree Strongly	Agree Somewhat	Delete	Agree Strongly	Disagree Somewhat	Agree Somewhat	No Opinion	Agree Strongly	Neither Agree or Disagree	0	1	0	0	0	0	0	0	1	0	Neither Agree or Disagree	Neither Agree or Disagree	Registry	No Opinion	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	No Opinion	Agree Somewhat	Agree Somewhat	0	1	0	0	0	0	0	0	0	1	1	Go!	id96919	
Disagree Strongly	Agree Strongly	Other	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Registry	Agree Strongly	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	1	0	0	1	0	1	1	1	Go!	id98278	
Disagree Strongly	Neither Agree or Disagree	Delete	Disagree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	1	1	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	0	0	0	0	1	1	1	1	0	0	1	1	0	Disagree Somewhat	Agree Strongly	Agree Strongly	0	0	1	0	0	1	1	0	0	1	1	Go!	id71697	
Disagree Strongly	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Agree Somewhat	Agree Somewhat	No Opinion	Agree Somewhat	0	0	0	1	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	1	1	0	0	0	1	Go!	id98890	
Neither Agree or Disagree	Agree Somewhat	Delete	Neither Agree or Disagree	Neither Agree or Disagree	Neither Agree or Disagree	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	0	1	0	1	0	1	1	1	Disagree Somewhat	Agree Strongly	Registry	Agree Strongly	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	0	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id91183	
Disagree Strongly	Disagree Somewhat	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Registry	Agree Strongly	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	1	0	0	0	0	Go!	id92796	
Disagree Somewhat	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Neither Agree or Disagree	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Neither Agree or Disagree	Registry	Neither Agree or Disagree	0	1	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	1	0	0	1	0	Go!	id91944	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	1	1	0	1	1	1	Neither Agree or Disagree	Agree Strongly	Government Controls	Agree Strongly	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	1	0	0	0	0	0	0	0	1	0	Go!	id99665	
Disagree Strongly	Agree Strongly	Delete	Agree Strongly	Disagree Strongly	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	0	1	1	1	1	1	0	0	1	1	Disagree Somewhat	Agree Somewhat	Registry	Agree Strongly	0	0	1	1	0	0	0	0	1	1	0	0	1	0	1	0	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	1	0	0	0	0	Go!	id95897	
Disagree Strongly	Agree Somewhat	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Strongly	Agree Somewhat	0	1	0	1	1	1	0	1	1	1	Agree Somewhat	Disagree Strongly	Other	Agree Somewhat	0	1	1	0	1	0	0	1	1	1	0	1	1	0	1	1	0	Disagree Somewhat	Agree Strongly	Disagree Strongly	0	1	0	0	0	1	1	1	0	1	1	Go!	id95854	
Disagree Strongly	Agree Somewhat	Reply	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Strongly	Agree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Blacklist	Agree Strongly	0	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	1	1	0	0	0	1	0	0	1	1	Go!	id80301	
Disagree Somewhat	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	Agree Somewhat	Agree Strongly	0	0	1	1	1	1	0	0	1	1	Disagree Strongly	Agree Somewhat	Impact Fee	Agree Strongly	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	Agree Strongly	Agree Strongly	Agree Strongly	0	0	1	0	0	0	1	0	0	1	1	Go!	id91609	
Disagree Strongly	Agree Somewhat	Read	Agree Somewhat	Disagree Strongly	Disagree Somewhat	Disagree Somewhat	Neither Agree or Disagree	No Opinion	0	0	0	0	0	1	0	1	1	0	Neither Agree or Disagree	Disagree Strongly	Registry	Agree Strongly	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	0	0	0	0	1	1	0	1	1	0	Go!	id99894	
Agree Somewhat	No Opinion	Delete	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Strongly	Neither Agree or Disagree	No Opinion	0	0	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Blacklist	Agree Strongly	0	0	1	0	1	0	0	1	1	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Neither Agree or Disagree	0	1	1	1	0	1	1	0	1	1	1	Go!	id94732	
Disagree Somewhat	Agree Somewhat	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Strongly	Agree Strongly	No Opinion	0	1	0	0	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	Disagree Strongly	Agree Somewhat	Agree Strongly	0	1	1	0	0	1	1	1	0	1	1	Go!	id91611	
