Advertising Networks	Anonymous Payment Systems	Attitudes Towards Spamming	Children's Privacy	Content Providers have Right to Resell User Information	Direct Marketing	Information about Users Improves Marketing of Site	Internet Privacy Laws	Key Escrow Encryption	Knowledge of Information Logged per Page Request_Don't Know	Knowledge of Information Logged per Page Request_Email Address	Knowledge of Information Logged per Page Request_Location	Knowledge of Information Logged per Page Request_Machine	Knowledge of Information Logged per Page Request_OS	Knowledge of Information Logged per Page Request_Requested Page	Knowledge of Information Logged per Page Request_Screen Size	Knowledge of Information Logged per Page Request_Session ID	Knowledge of Information Logged per Page Request_Time of Request	Knowledge of Information Logged per Page Request_Which Browser	Mass Emailings	Ought to be able to Assume Different Aliases/Roles on the Internet	Policies Towards Spamming	Privacy of Communications	Reasons for Not Registering_Always Register	Reasons for Not Registering_Don't Trust	Reasons for Not Registering_Not Worth Risk	Reasons for Not Registering_Other	Reasons for Not Registering_Requires Address	Reasons for Not Registering_Requires Email	Reasons for Not Registering_Requires Name 	Reasons for Not Registering_Terms	Reasons for Not Registering_Time	Terms and Conditions for Revealing Demographic Information_Aggregated Only	Terms and Conditions for Revealing Demographic Information_Discount at Site's Store	Terms and Conditions for Revealing Demographic Information_How it will be Used	Terms and Conditions for Revealing Demographic Information_In Exchange for Access to Site	Terms and Conditions for Revealing Demographic Information_Other	Terms and Conditions for Revealing Demographic Information_Some Value Added Service	Terms and Conditions for Revealing Demographic Information_What's Being Collected	Terms and Conditions for Revealing Demographic Information_Would Not Give	Use of Demographic Information in Other Mediums	Users Ought to Have Complete Control of Demographic Info	Value Anonymous Nature of Internet	What Information Ought to be Collected per Page Request_Don't Know	What Information Ought to be Collected per Page Request_Email Address	What Information Ought to be Collected per Page Request_Location	What Information Ought to be Collected per Page Request_Machine	What Information Ought to be Collected per Page Request_None	What Information Ought to be Collected per Page Request_OS	What Information Ought to be Collected per Page Request_Requested Page	What Information Ought to be Collected per Page Request_Screen Size	What Information Ought to be Collected per Page Request_Session ID	What Information Ought to be Collected per Page Request_Time of Request	What Information Ought to be Collected per Page Request_Which Browser	da_source	who	
Disagree Strongly	No Opinion	Reply	No Opinion	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	Agree Somewhat	Disagree Strongly	0	1	1	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Neither Agree or Disagree	0	0	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	0	0	Go!	id44635	
Disagree Strongly	Neither Agree or Disagree	Delete	Agree Strongly	Disagree Strongly	Disagree Strongly	Agree Somewhat	Agree Somewhat	Agree Strongly	0	1	0	0	0	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	0	1	0	0	0	1	0	0	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	1	0	0	0	0	0	0	Go!	id92891	
Neither Agree or Disagree	Neither Agree or Disagree	Not App	Disagree Strongly	Neither Agree or Disagree	Disagree Somewhat	Neither Agree or Disagree	Disagree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	Disagree Strongly	Disagree Strongly	Don't Know	Agree Somewhat	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	Neither Agree or Disagree	Agree Somewhat	Disagree Strongly	1	0	0	0		0	0	0	0	0	0	Go!	id84541	
Disagree Somewhat	Agree Somewhat	Delete	Agree Somewhat	Disagree Strongly	Agree Somewhat	Neither Agree or Disagree	Agree Strongly	Agree Somewhat	0	1	0	0	0	0	0	0	0	0	Agree Somewhat	Disagree Somewhat	Government Controls	Agree Somewhat	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	Disagree Somewhat	Agree Somewhat	Agree Somewhat	0	1	0	0	0	0	0	0	0	0	0	Go!	id96059	
Disagree Strongly	Neither Agree or Disagree	Reply	Disagree Somewhat	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	Disagree Strongly	0	1	0	1	0	1	0	1	1	0	Disagree Strongly	Agree Somewhat	Registry	Agree Strongly	0	1	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	Disagree Somewhat	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	0	0	Go!	id91078	
Disagree Strongly	Neither Agree or Disagree	Delete	Neither Agree or Disagree	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Disagree Somewhat	Agree Somewhat	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Neither Agree or Disagree	Impact Fee	Agree Strongly	0	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	0	0	0	1	0	0	1	1	Go!	id98516	
Disagree Somewhat	Neither Agree or Disagree	Other	Agree Strongly	Disagree Strongly	Disagree Somewhat	Agree Somewhat	Agree Somewhat	No Opinion	0	1	0	1	1	1	0	1	1	1	Disagree Strongly	Agree Somewhat	Other	Agree Somewhat	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	Disagree Strongly	Agree Strongly	Agree Somewhat	0	0	0	1		1	1	0	1	1	1	Go!	id98755	
Disagree Somewhat	No Opinion	Not App	Agree Somewhat	Disagree Strongly	Neither Agree or Disagree	Agree Somewhat	No Opinion	No Opinion	0	0	0	0	0	0	0	0	0	1	No Opinion	Agree Somewhat	Registry	Agree Strongly	0	0	1	1	0	0	0	1	0	1	0	1	0	0	0	1	0	Agree Somewhat	Agree Strongly	Agree Strongly	1	0	0	0	0	0	0	0	0	0	0	Go!	id91207	
Disagree Strongly	No Opinion	Reply	Disagree Strongly	Disagree Strongly	Disagree Strongly	Neither Agree or Disagree	Agree Strongly	Disagree Strongly	0	0	0	1	0	1	0	0	1	0	Disagree Strongly	Agree Somewhat	Registry	No Opinion	0	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	0	Disagree Strongly	Agree Strongly	Agree Strongly	0	0	0	0	0	0	1	0	0	1	0	Go!	id97026	
Disagree Strongly	Agree Strongly	Delete	Neither Agree or Disagree	Disagree Strongly	Neither Agree or Disagree	Neither Agree or Disagree	Disagree Strongly	Neither Agree or Disagree	0	0	0	0	1	1	0	0	1	1	Disagree Strongly	Agree Strongly	Blacklist	Agree Strongly	0	1	1	0	1	0	0	1	0	1	0	1	0	1	0	1	0	Neither Agree or Disagree	Agree Strongly	Agree Strongly	0	0	0	0	0	1	1	0	0	1	1	Go!	id91156	
